dek_algorithm	primitive	mode	key_bits	coverage	resource	outcome	notes
AES-128-CBC	AES	CBC	128	FROZEN	legacy-pem/aes-128-cbc.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
AES-128-CFB	AES	CFB	128	FROZEN	legacy-pem/aes-128-cfb.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
AES-128-OFB	AES	OFB	128	FROZEN	legacy-pem/aes-128-ofb.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
AES-128-ECB	AES	ECB	128	FROZEN	legacy-pem/aes-128-ecb.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
AES-192-CBC	AES	CBC	192	FROZEN	legacy-pem/aes-192-cbc.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
AES-192-CFB	AES	CFB	192	FROZEN	legacy-pem/aes-192-cfb.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
AES-192-OFB	AES	OFB	192	FROZEN	legacy-pem/aes-192-ofb.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
AES-192-ECB	AES	ECB	192	FROZEN	legacy-pem/aes-192-ecb.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
AES-256-CBC	AES	CBC	256	FROZEN	legacy-pem/aes-256-cbc.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
AES-256-CFB	AES	CFB	256	FROZEN	legacy-pem/aes-256-cfb.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
AES-256-OFB	AES	OFB	256	FROZEN	legacy-pem/aes-256-ofb.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
AES-256-ECB	AES	ECB	256	FROZEN	legacy-pem/aes-256-ecb.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
DES-CBC	DES	CBC	64	FROZEN	legacy-pem/des-cbc.pem	SUCCESS	BC-1.84-deterministic-test-fixture; SSHJ-0.40.0-JDK21-compatible
