jca_algorithm	prf	cipher	coverage	resource	outcome	notes
PBEWithHmacSHA1AndAES_128	HmacSHA1	AES-128-CBC	FROZEN_ACCEPTED	pkcs8-pbe/pbes2-hmac-sha1-aes128.pem	SUCCESS	SSHJ-0.40.0-JDK21-PBES2-path
PBEWithHmacSHA1AndAES_256	HmacSHA1	AES-256-CBC	FROZEN_ACCEPTED	pkcs8-pbe/pbes2-hmac-sha1-aes256.pem	SUCCESS	SSHJ-0.40.0-JDK21-PBES2-path
PBEWithHmacSHA224AndAES_128	HmacSHA224	AES-128-CBC	FROZEN_ACCEPTED	pkcs8-pbe/pbes2-hmac-sha224-aes128.pem	SUCCESS	SSHJ-0.40.0-JDK21-PBES2-path
PBEWithHmacSHA224AndAES_256	HmacSHA224	AES-256-CBC	FROZEN_ACCEPTED	pkcs8-pbe/pbes2-hmac-sha224-aes256.pem	SUCCESS	SSHJ-0.40.0-JDK21-PBES2-path
PBEWithHmacSHA256AndAES_128	HmacSHA256	AES-128-CBC	FROZEN_ACCEPTED	pkcs8-pbe/pbes2-hmac-sha256-aes128.pem	SUCCESS	SSHJ-0.40.0-JDK21-PBES2-path
PBEWithHmacSHA256AndAES_256	HmacSHA256	AES-256-CBC	FROZEN_ACCEPTED	pkcs8-pbe/pbes2-hmac-sha256-aes256.pem	SUCCESS	SSHJ-0.40.0-JDK21-PBES2-path
PBEWithHmacSHA384AndAES_128	HmacSHA384	AES-128-CBC	FROZEN_ACCEPTED	pkcs8-pbe/pbes2-hmac-sha384-aes128.pem	SUCCESS	SSHJ-0.40.0-JDK21-PBES2-path
PBEWithHmacSHA384AndAES_256	HmacSHA384	AES-256-CBC	FROZEN_ACCEPTED	pkcs8-pbe/pbes2-hmac-sha384-aes256.pem	SUCCESS	SSHJ-0.40.0-JDK21-PBES2-path
PBEWithHmacSHA512AndAES_128	HmacSHA512	AES-128-CBC	FROZEN_ACCEPTED	pkcs8-pbe/pbes2-hmac-sha512-aes128.pem	SUCCESS	SSHJ-0.40.0-JDK21-PBES2-path
PBEWithHmacSHA512AndAES_256	HmacSHA512	AES-256-CBC	FROZEN_ACCEPTED	pkcs8-pbe/pbes2-hmac-sha512-aes256.pem	SUCCESS	SSHJ-0.40.0-JDK21-PBES2-path
PBEWithHmacSHA512/224AndAES_128	HmacSHA512/224	AES-128-CBC	FROZEN_ACCEPTED	pkcs8-pbe/pbes2-hmac-sha512-224-aes128.pem	SUCCESS	SSHJ-0.40.0-JDK21-PBES2-path
PBEWithHmacSHA512/224AndAES_256	HmacSHA512/224	AES-256-CBC	FROZEN_ACCEPTED	pkcs8-pbe/pbes2-hmac-sha512-224-aes256.pem	SUCCESS	SSHJ-0.40.0-JDK21-PBES2-path
PBEWithHmacSHA512/256AndAES_128	HmacSHA512/256	AES-128-CBC	FROZEN_ACCEPTED	pkcs8-pbe/pbes2-hmac-sha512-256-aes128.pem	SUCCESS	SSHJ-0.40.0-JDK21-PBES2-path
PBEWithHmacSHA512/256AndAES_256	HmacSHA512/256	AES-256-CBC	FROZEN_ACCEPTED	pkcs8-pbe/pbes2-hmac-sha512-256-aes256.pem	SUCCESS	SSHJ-0.40.0-JDK21-PBES2-path
PBEWithMD5AndDES	classic-PBE	DES-CBC	FROZEN_REJECTED	-	MALFORMED_KEY	SecretKeyFactory-name-is-not-available-from-AlgorithmParameters.toString
PBEWithMD5AndTripleDES	classic-PBE	3DES-CBC	FROZEN_REJECTED	-	MALFORMED_KEY	EncryptedPrivateKeyInfo-cannot-encode-this-JDK21-algorithm
PBEWithSHA1AndDESede	classic-PBE	3DES-CBC	FROZEN_REJECTED	-	MALFORMED_KEY	AlgorithmParameters.toString-is-a-verbose-dump-not-a-SecretKeyFactory-name
PBEWithSHA1AndRC2_40	classic-PBE	RC2-40	FROZEN_REJECTED	-	MALFORMED_KEY	AlgorithmParameters.toString-is-a-verbose-dump-not-a-SecretKeyFactory-name
PBEWithSHA1AndRC2_128	classic-PBE	RC2-128	FROZEN_REJECTED	-	MALFORMED_KEY	AlgorithmParameters.toString-is-a-verbose-dump-not-a-SecretKeyFactory-name
PBEWithSHA1AndRC4_40	classic-PBE	RC4-40	FROZEN_REJECTED	-	MALFORMED_KEY	AlgorithmParameters.toString-is-a-verbose-dump-not-a-SecretKeyFactory-name
PBEWithSHA1AndRC4_128	classic-PBE	RC4-128	FROZEN_REJECTED	-	MALFORMED_KEY	AlgorithmParameters.toString-is-a-verbose-dump-not-a-SecretKeyFactory-name
